Group,All Countries,Mauritius,Malta,Jamaica,Cyprus,Latvia,New Zealand,Iceland,Estonia,Lithuania,Slovenia,Slovakia,Cuba,Guinea,Zimbabwe,Thailand,Libya,Lebanon,Greece,Hungary,Croatia,Mauritania,Finland,Malaysia,Norway,North Macedonia,Bulgaria,Bosnia and Herzegovina,Sudan,Denmark,El Salvador,Ethiopia,Australia,Cameroon,Venezuela,Nepal,Austria,Morocco,Moldova,Serbia,Ireland,Switzerland,Ghana,Japan,Armenia,Bahrain,Honduras,Nigeria,Poland,Romania,Portugal,Singapore,Netherlands,United Arab Emirates,Dominican Republic,Belgium,Israel,Ukraine,Bolivia,Sweden,Ecuador,Philippines,China,Kazakhstan,Egypt,Indonesia,Canada,Iraq,Argentina,Germany,France,Turkey,Bangladesh,Italy,Saudi Arabia,Colombia,Pakistan,Spain,Iran,United Kingdom,Chile,Peru,Mexico,South Africa,Russia,India,Brazil,US
A+,30,26,41,23,40,31,32,27,31,33,33,36,34,22,19,17,29,32,33,33,36,27,35,30,42,34,37,36,28,37,23,28,31,39,28,28,37,30,32,35,26,38,18,40,46,19,27,22,32,37,40,24,35,22,26,34,34,34,29,37,14,23,28,30,24,26,36,25,34,37,37,38,21,36,24,26,22,36,27,32,9,18,26,32,30,21,34,36
A-,4,1,5,2,3,6,6,5,5,6,7,6,3,1,1,0,4,7,5,7,6,2,6,0,7,6,7,7,2,7,1,2,7,1,2,0,7,3,6,7,5,7,1,0,4,1,2,1,6,7,7,0,7,2,2,6,4,6,3,7,1,0,0,2,2,0,6,3,0,6,7,5,1,6,2,3,2,7,3,7,0,1,1,5,6,1,8,6
AB+,5,7,3,3,5,6,3,2,6,4,6,7,3,5,1,5,5,3,4,8,5,4,7,7,3,6,7,6,3,4,1,5,2,3,2,9,5,4,7,4,2,4,3,10,6,4,3,3,7,7,3,6,3,4,3,4,7,5,1,5,1,6,5,8,4,8,3,7,3,4,3,7,17,3,4,1,10,3,7,3,1,2,2,3,7,9,3,3
AB-,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1
B+,15,25,7,20,11,17,9,9,21,11,12,15,10,23,15,37,11,10,11,16,15,17,16,27,7,15,13,12,15,8,11,21,8,12,6,27,12,14,18,13,9,8,18,20,12,23,8,21,15,14,7,25,7,21,17,9,17,15,10,10,7,25,19,24,12,29,8,26,9,9,9,14,35,8,17,2,34,8,22,8,3,8,9,12,20,38,8,9
B-,1,1,1,1,1,3,2,2,3,2,3,3,1,1,0,0,2,2,2,3,3,1,2,0,1,3,2,2,1,2,1,1,2,0,0,0,2,2,3,2,2,1,1,0,1,1,1,1,2,2,1,0,1,2,1,2,2,2,1,2,0,0,0,2,1,0,1,3,0,2,1,2,1,2,1,1,4,2,3,2,0,0,0,2,3,2,2,2
O+,40,38,38,47,35,31,38,47,30,36,31,27,46,47,63,41,43,38,37,27,29,46,28,34,33,30,28,31,48,35,62,39,40,43,58,35,30,42,29,32,47,35,54,30,29,48,58,51,31,28,36,45,40,44,46,38,32,32,52,32,75,46,48,31,52,37,39,32,45,35,36,30,32,39,48,61,27,35,34,38,86,70,59,39,28,28,36,37
O-,4,2,5,4,4,5,9,8,4,7,7,5,4,2,2,0,6,8,7,5,5,3,5,0,6,5,5,5,4,6,1,3,9,1,4,0,6,5,5,6,8,6,5,0,2,3,3,2,6,5,6,1,8,4,4,7,3,5,4,6,2,0,0,2,5,0,7,4,8,6,6,4,1,7,4,5,2,9,4,9,1,1,3,6,5,1,9,7
confirmed_cases,188910,344,814,864,1090,1228,1560,1872,2051,2062,2139,2265,2597,3071,3092,3304,3438,4334,4401,4484,5071,6295,7423,8964,9208,10617,11420,11444,11496,13964,16230,16615,16903,17255,17859,19547,20955,23259,24343,25213,26027,35022,35142,35144,38196,40755,41426,42689,45031,49591,50868,51809,54249,60223,67915,68006,70036,70300,75234,80100,84370,85486,87489,89078,93757,106336,117677,121263,185373,209535,222469,229891,234889,247158,274219,276055,277402,285430,301530,303910,353536,400683,416179,482169,832993,1634746,2610102,4494601
deaths,7573,10,9,10,19,31,22,10,69,80,117,28,87,51,53,58,73,57,203,596,144,157,329,124,255,480,374,328,725,615,439,263,196,391,158,52,718,346,771,565,1763,1980,175,1007,728,146,1312,878,1709,2304,1727,27,6166,349,1146,9840,500,1697,2894,5739,5657,1962,4659,793,4774,5058,8974,4671,3441,9144,30241,5674,3083,35132,2842,9808,5924,28443,16569,46084,9377,18816,46000,7812,13778,35718,91263,152055
