Country,A+,A-,AB+,AB-,B+,B-,O+,O-,confirmed_cases,deaths,case_fatality_per_k,Population,Continent
Mauritius,26,1,7,1,25,1,38,2,344,10,13,1267303,Asia
Malta,41,5,3,1,7,1,38,5,814,9,33,432810,Europe
Jamaica,23,2,3,1,20,1,47,4,864,10,76,2813316,South America
Cyprus,40,3,5,1,11,1,35,4,1090,19,67,1189395,Europe
Latvia,31,6,6,1,17,3,31,5,1228,31,55,1944122,Europe
New Zealand,32,6,3,1,9,2,38,9,1560,22,34,4604996,Oceania
Iceland,27,5,2,1,9,2,47,8,1872,10,4,334311,Europe
Estonia,31,5,6,1,21,3,30,4,2051,69,29,1305745,Europe
Lithuania,33,6,4,1,11,2,36,7,2062,80,45,2827573,Europe
Slovenia,33,7,6,1,12,3,31,7,2139,117,12,2071258,Europe
Slovakia,36,6,7,1,15,3,27,5,2265,28,27,5432265,Europe
Cuba,34,3,3,1,10,1,46,4,2597,87,25,11486750,North America
Guinea,22,1,5,1,23,1,47,2,3071,51,27,13291741,Africa
Zimbabwe,19,1,1,1,15,1,63,2,3092,53,16,16912880,Africa
Thailand,17,1,5,1,37,1,41,1,3304,58,44,68298027,Asia
Libya,29,4,5,1,11,2,43,6,3438,73,5,6408990,Africa
Lebanon,32,7,3,1,10,2,38,8,4334,57,36,6039438,Asia
Greece,33,5,4,1,11,2,37,7,4401,203,38,10892849,Europe
Hungary,33,7,8,1,16,3,27,5,4484,596,6,9787801,Europe
Croatia,36,6,5,1,15,3,29,5,5071,144,12,4207355,Europe
Mauritania,27,2,4,1,17,1,46,3,6295,157,39,4266765,Africa
Finland,35,6,7,1,16,2,28,5,7423,329,21,5541328,Europe
Malaysia,30,1,7,1,27,1,34,1,8964,124,28,31165480,Asia
Norway,42,7,3,1,7,1,33,6,9208,255,29,5330986,Europe
North Macedonia,34,6,6,1,15,3,30,5,10617,480,23,2083690,Europe
Bulgaria,37,7,7,1,13,2,28,5,11420,374,14,7045097,Europe
Bosnia and Herzegovina,36,7,6,1,12,2,31,5,11444,328,9,3792730,Europe
Sudan,28,2,3,1,15,1,48,4,11496,725,16,40827975,Africa
Denmark,37,7,4,1,8,2,35,6,13964,615,28,5711902,Europe
El Salvador,23,1,1,1,11,1,62,1,16230,439,142,6171483,North America
Ethiopia,28,2,5,1,21,1,39,3,16615,263,44,104352727,Africa
Australia,31,7,2,1,8,2,40,9,16903,196,23,24642693,Oceania
Cameroon,39,1,3,1,12,1,43,1,17255,391,5,24515533,Africa
Venezuela,28,2,2,1,6,1,58,4,17859,158,29,32011082,South America
Nepal,28,1,9,1,27,1,35,1,19547,52,19,29188100,Asia
Austria,37,7,5,1,12,2,30,6,20955,718,11,8592470,Europe
Morocco,30,3,4,1,14,2,42,5,23259,346,17,36328588,Africa
Moldova,32,6,7,1,18,3,29,5,24343,771,39,4043722,Europe
Serbia,35,7,4,1,13,2,32,6,25213,565,133,8776827,Europe
Ireland,26,5,2,1,9,2,47,8,26027,1763,63,4749263,Europe
Switzerland,38,7,4,1,8,1,35,6,35022,1980,55,8454321,Europe
Ghana,18,1,3,1,18,1,54,5,35142,175,34,29779258,Africa
Japan,40,1,10,1,20,1,30,1,35144,1007,25,126044340,Asia
Armenia,46,4,6,1,12,1,29,2,38196,728,44,2931568,Europe
Bahrain,19,1,4,1,23,1,48,3,40755,146,12,1418695,Asia
Honduras,27,2,3,1,8,1,58,3,41426,1312,21,9348898,North America
Nigeria,22,1,3,1,21,1,51,2,42689,878,46,191851411,Africa
Poland,32,6,7,1,15,2,31,6,45031,1709,14,38563480,Europe
Romania,37,7,7,1,14,2,28,5,49591,2304,34,19237087,Europe
Portugal,40,7,3,1,7,1,36,6,50868,1727,111,10264672,Europe
Singapore,24,1,6,1,25,1,45,1,51809,27,19,5784819,Asia
Netherlands,35,7,3,1,7,1,40,8,54249,6166,24,17033012,Europe
United Arab Emirates,22,2,4,1,21,2,44,4,60223,349,13,3398017,Asia
Dominican Republic,26,2,3,1,17,1,46,4,67915,1146,51,10766932,North America
Belgium,34,6,4,1,9,2,38,7,68006,9840,9,11444053,Europe
Israel,34,4,7,1,17,2,32,3,70036,500,145,8323659,Asia
Ukraine,34,6,5,1,15,2,32,5,70300,1697,48,44404078,Europe
Bolivia,29,3,1,1,10,1,52,4,75234,2894,114,11053376,Europe
Sweden,37,7,5,1,10,2,32,6,80100,5739,72,9920843,Europe
Ecuador,14,1,1,1,7,1,75,2,84370,5657,100,16665756,South America
Philippines,23,1,6,1,25,1,46,1,85486,1962,22,103801747,Asia
China,28,1,5,1,19,1,48,1,87489,4659,22,1300000000,Asia
Kazakhstan,30,2,8,1,24,2,31,2,89078,793,38,18431447,Asia
Egypt,24,2,4,1,12,1,52,5,93757,4774,10,95220838,Africa
Indonesia,26,1,8,1,29,1,37,1,106336,5058,17,263519317,Asia
Canada,36,6,3,1,8,1,39,7,117677,8974,57,36627140,North America
Iraq,25,3,7,1,26,3,32,4,121263,4671,21,38657787,Asia
Argentina,34,1,3,1,9,1,45,8,185373,3441,136,44270440,South America
Germany,37,6,4,1,9,2,35,6,209535,9144,47,80635980,Europe
France,37,7,3,1,9,1,36,6,222469,30241,152,64939560,Europe
Turkey,38,5,7,1,14,2,30,4,229891,5674,68,80420065,Europe
Bangladesh,21,1,17,1,35,1,32,1,234889,3083,53,164833667,Asia
Italy,36,6,3,1,8,2,39,7,247158,35132,34,59797969,Europe
Saudi Arabia,24,2,4,1,17,1,48,4,274219,2842,35,32744532,Asia
Colombia,26,3,1,1,2,1,61,5,276055,9808,3,49069267,South America
Pakistan,22,2,10,1,34,4,27,2,277402,5924,17,180440005,Asia
Spain,36,7,3,1,8,2,35,9,285430,28443,18,46070163,Europe
Iran,27,3,7,1,22,3,34,4,301530,16569,1,80982137,Asia
United Kingdom,32,7,3,1,8,2,38,9,303910,46084,17,65512375,Europe
Chile,9,1,1,1,3,1,86,1,353536,9377,7,18314060,South America
Peru,18,1,2,1,8,1,70,1,400683,18816,46,32167717,South America
Mexico,26,1,2,1,9,1,59,3,416179,46000,25,130227836,North America
South Africa,32,5,3,1,12,2,39,6,482169,7812,17,55437815,Africa
Russia,30,6,7,1,20,3,28,5,832993,13778,34,143374801,Asia
India,21,1,9,1,38,2,28,1,1634746,35718,32,1342561902,Asia
Brazil,34,8,3,1,8,2,36,9,2610102,91263,15,211248418,South America
US,36,6,3,1,9,2,37,7,4494601,152055,32,326481533,North America
